Model,Norm,Dataset,Batch Size,Trace,Eigen Mean,Eigen Variance,Max Eigen,Test Accuracy,Class Similarity,Mom & WD,Train Accuracy,SkipInit,Success,P Grouping,Gen. Ratio
ResNet-56,EvoNormSO,CIFAR-10,256,1.1176921520446627e-05,0.0376098854986217,7.619333845998313,1.1375268,86.12222222222222,0.19618693,True,100.0,False,True,32.0,0.8612222222222222
ResNet-56,EvoNormSO,CIFAR-10,256,1.2208006040839223e-05,0.0304518168661084,2.5633436538818666,2.04687,84.21111111111111,0.33987013,True,100.0,True,True,32.0,0.842111111111111
ResNet-56,EvoNormSO,CIFAR-10,16,0.0002919832267584252,0.0835266378630564,2.7753577870150856,28.190653,80.73333333333333,0.44209197,True,89.47663252240717,True,True,32.0,0.9022839936797543
ResNet-56,EvoNormSO,CIFAR-10,16,0.0015074639794799435,0.0336452081069333,1.1093715151840418,277.53164,65.55555555555556,0.6969385,False,67.53761203585147,False,True,32.0,0.9706525531396674
ResNet-56,EvoNormSO,CIFAR-10,256,0.001193647917538146,0.2612708104949519,16.3842295922927,39.31211,79.26666666666667,0.4369059,False,99.01336984536084,False,True,32.0,0.8005652851778038
ResNet-56,EvoNormSO,CIFAR-10,256,0.0011446728370055866,0.2419651830899027,13.325287061849284,44.90228,74.05555555555556,0.6196133,False,93.92719072164948,True,True,32.0,0.7884357552544828
ResNet-56,EvoNormSO,CIFAR-10,16,0.0005591881573811722,0.0026671107800595,0.2149276446464184,599.0314,43.05555555555556,0.7574003,False,43.10179257362356,True,True,32.0,0.9989272599744192
ResNet-56,EvoNormSO,CIFAR-100,16,0.0005764582752467572,0.0865338524355522,1.984008026672864,47.663374,43.3,0.59199226,True,48.36347631241998,False,True,32.0,0.8953037147348389
ResNet-56,EvoNormSO,CIFAR-100,256,9.209999374731886e-05,0.3475592706540244,464.88591929891953,1.9498084,54.0,0.39680362,True,99.93556701030928,False,True,32.0,0.5403481624758221
ResNet-56,EvoNormSO,CIFAR-100,256,0.00030843361134893967,0.3413059419307526,142.0193721702151,7.491839,51.06666666666667,0.6213956,True,99.70602448453609,True,True,32.0,0.5121723279076968
ResNet-56,EvoNormSO,CIFAR-100,16,0.0006609823862313974,0.1087051248312838,2.97557800187529,50.18077,42.78888888888889,0.7292954,True,50.780249679897565,True,True,32.0,0.8426285644244829
ResNet-56,EvoNormSO,CIFAR-100,16,0.0019490344319868984,0.0289557174197507,1.0125139189294918,391.8983,11.955555555555556,0.8306256,False,12.780089628681178,False,True,32.0,0.9354829193626939
ResNet-56,EvoNormSO,CIFAR-100,256,0.003805202210748523,0.5817260860686699,56.65658751199976,58.548483,37.82222222222222,0.8472356,False,58.40447809278351,False,True,32.0,0.6475911344013116
ResNet-56,EvoNormSO,CIFAR-100,256,0.0013107072942250108,0.012310665089799,0.2059183452652445,202.45061,37.75555555555555,0.8759278,False,45.09101159793814,True,True,32.0,0.8373188850188046
ResNet-56,EvoNormSO,CIFAR-100,16,0.00013466914959807085,0.022772591661403,0.3236312743722719,48.932596,6.222222222222222,0.6928252,False,6.065941101152369,True,True,32.0,1.0257637056581648
